Line,Area,Equipment Type,Equipment
164D Line,Side Member RH/ LH,SSW,SSW 5
164D Line,Side Member RH/ LH,SSW,SSW 6
164D Line,Side Member RH/ LH,SSW,SSW 7
164D Line,Side Member RH/ LH,Stud Welder,SW 5
164D Line,Side Member RH/ LH,Stud Welder,SW 6
164D Line,Side Member RH/ LH,Other,Other
164D Line,Under Body,CO2,CO2# 1
164D Line,Under Body,CO2,CO2# 2
164D Line,Under Body,Hoist,Hoist 1
164D Line,Under Body,Hoist,Hoist 2
164D Line,Under Body,Hoist,Hoist 3
164D Line,Under Body,Hoist,Hoist 4
164D Line,Under Body,Hoist,Hoist 5
164D Line,Under Body,Hoist,Hoist 6
164D Line,Under Body,Manual Jig,UFH RH
164D Line,Under Body,Manual Jig,UFH LH
164D Line,Under Body,Manual Jig,UFC-1
164D Line,Under Body,PLC Jig,UMB RH
164D Line,Under Body,PLC Jig,UAB RH
164D Line,Under Body,PLC Jig,EUEA
164D Line,Under Body,PLC Jig,UMB LH
164D Line,Under Body,Number Punching Machine,Number Punching
164D Line,Under Body,PLC Jig,UFB RH
164D Line,Under Body,PLC Jig,UFB LH
164D Line,Under Body,Pneumatic Jig,UEA RH
164D Line,Under Body,Pneumatic Jig,UMA 
164D Line,Under Body,Pneumatic Jig,UAB-A RH
164D Line,Under Body,Pneumatic Jig,UAA RH
164D Line,Under Body,Pneumatic Jig,UAC RH
164D Line,Under Body,Pneumatic Jig,UAD RH
164D Line,Under Body,Pneumatic Jig,URB/ URC
164D Line,Under Body,Pneumatic Jig,URA
164D Line,Under Body,Pneumatic Jig,UAA LH
164D Line,Under Body,Pneumatic Jig,UMA 
164D Line,Under Body,Pneumatic Jig,UAE LH
164D Line,Under Body,Pneumatic Jig,UAB LH
164D Line,Under Body,Pneumatic Jig,UAB-A LH
164D Line,Under Body,Pneumatic Jig,UAD LH
164D Line,Under Body,Pneumatic Jig,UAC LH
164D Line,Under Body,Pneumatic Jig,UDB
164D Line,Under Body,Pneumatic Jig,UDC
164D Line,Under Body,Pneumatic Jig,UDA
164D Line,Under Body,Pneumatic Jig,UFD RH
164D Line,Under Body,Pneumatic Jig,UFF RH
164D Line,Under Body,Pneumatic Jig,UFA RH
164D Line,Under Body,Pneumatic Jig,UFF LH
164D Line,Under Body,Pneumatic Jig,UFD LH
164D Line,Under Body,Pneumatic Jig,UFC
164D Line,Under Body,Spot Welding System,PSWS # 1
164D Line,Under Body,Spot Welding System,PSWS # 2
164D Line,Under Body,Spot Welding System,PSWS # 3
164D Line,Under Body,Spot Welding System,PSWS # 4
164D Line,Under Body,Spot Welding System,PSWS # 5
164D Line,Under Body,Spot Welding System,PSWS # 6
164D Line,Under Body,Spot Welding System,PSWS # 7
164D Line,Under Body,Spot Welding System,PSWS # 8
164D Line,Under Body,Spot Welding System,PSWS # 9
164D Line,Under Body,Spot Welding System,PSWS # 10
164D Line,Under Body,Spot Welding System,PSWS # 11
164D Line,Under Body,Spot Welding System,PSWS # 12
164D Line,Under Body,Spot Welding System,PSWS # 13
164D Line,Under Body,Spot Welding System,PSWS # 14
164D Line,Under Body,Spot Welding System,PSWS # 15
164D Line,Under Body,Spot Welding System,PSWS # 16
164D Line,Under Body,Spot Welding System,PSWS # 17
164D Line,Under Body,Spot Welding System,PSWS # 18
164D Line,Under Body,Spot Welding System,PSWS # 19
164D Line,Under Body,Spot Welding System,PSWS # 20
164D Line,Under Body,Spot Welding System,PSWS # 21
164D Line,Under Body,Spot Welding System,PSWS # 22
164D Line,Under Body,Spot Welding System,PSWS # 23
164D Line,Under Body,Spot Welding System,PSWS # 24
164D Line,Under Body,Spot Welding System,PSWS # 25
164D Line,Under Body,Spot Welding System,PSWS # 26
164D Line,Under Body,Spot Welding System,PSWS # 27
164D Line,Under Body,Spot Welding System,PSWS # 28
164D Line,Under Body,Spot Welding System,PSWS # 29
164D Line,Under Body,Spot Welding System,PSWS # 30
164D Line,Under Body,Spot Welding System,PSWS # 31
164D Line,Under Body,Spot Welding System,PSWS # 32
164D Line,Under Body,Spot Welding System,PSWS # 33
164D Line,Under Body,Spot Welding System,PSWS # 34
164D Line,Under Body,Spot Welding System,PSWS # 35
164D Line,Under Body,Spot Welding System,PSWS # 36
164D Line,Under Body,Spot Welding System,PSWS # 37
164D Line,Under Body,Spot Welding System,PSWS # 38
164D Line,Under Body,Spot Welding System,PSWS # 39
164D Line,Under Body,Spot Welding System,PSWS # 40
164D Line,Under Body,Spot Welding System,PSWS # 41
164D Line,Under Body,Spot Welding System,PSWS # 42
164D Line,Under Body,Spot Welding System,PSWS # 43
164D Line,Under Body,SSW,SSW # 1
164D Line,Under Body,SSW,SSW # 2
164D Line,Under Body,SSW,SSW # 3
164D Line,Under Body,SSW,SSW # 4
164D Line,Under Body,SSW,SSW # 5
164D Line,Under Body,SSW,SSW # 6
164D Line,Under Body,SSW,SSW # 7
164D Line,Under Body,Stud Welder,SW 1
164D Line,Under Body,Stud Welder,SW 2
164D Line,Under Body,Stud Welder,SW 3
164D Line,Under Body,Auto Stud,Auto Stud
164D Line,Under Body,Other,Other
164D Line,Under Rear,Hoist,H 7
164D Line,Under Rear,Hoist,H 8
164D Line,Under Rear,Hoist,H 9
164D Line,Under Rear,Hoist,H 10
164D Line,Under Rear,Under Rear Robot,Under Rear Robot (URT1-1)
164D Line,Under Rear,Under Rear Robot,Under Rear Robot (URT1-2)
164D Line,Under Rear,PLC Jig,UUB 
164D Line,Under Rear,PLC Jig,UUC
164D Line,Under Rear,PLC Jig,UUG LH
164D Line,Under Rear,PLC Jig,UUE
164D Line,Under Rear,PLC Jig,UUG RH
164D Line,Under Rear,Pneumatic Jig,UUJ
164D Line,Under Rear,Pneumatic Jig,UUF LH
164D Line,Under Rear,Pneumatic Jig,UUF RH
164D Line,Under Rear,Spot Welding System,PSWS 44
164D Line,Under Rear,Spot Welding System,PSWS 45
164D Line,Under Rear,Spot Welding System,PSWS 46
164D Line,Under Rear,Spot Welding System,PSWS 47
164D Line,Under Rear,Spot Welding System,PSWS 48
164D Line,Under Rear,Spot Welding System,PSWS 49
164D Line,Under Rear,Spot Welding System,PSWS 50
164D Line,Under Rear,Spot Welding System,PSWS 51
164D Line,Under Rear,Spot Welding System,PSWS 52
164D Line,Under Rear,Spot Welding System,PSWS 53
164D Line,Under Rear,Spot Welding System,PSWS 54
164D Line,Under Rear,Spot Welding System,PSWS 55
164D Line,Under Rear,Spot Welding System,PSWS 56
164D Line,Under Rear,SSW,SSW 8
164D Line,Under Rear,Stud Welder,SW 4
164D Line,Under Rear,Other,Other
Corolla,Door Hemming Area,Brazing Station,Brazing Station # 1
Corolla,Door Hemming Area,Brazing Station,Brazing Station # 2
Corolla,Door Hemming Area,CO2,Co2 # 9
Corolla,Door Hemming Area,ENERPAC ,WEA RH
Corolla,Door Hemming Area,ENERPAC ,WEA LH
Corolla,Door Hemming Area,Hemming Machine,Door Hemming LH
Corolla,Door Hemming Area,Hemming Machine,Door Hemming RH
Corolla,Door Hemming Area,Hemming Machine,Hood and Luggage
Corolla,Door Hemming Area,Piercing Machine,WRI
Corolla,Door Hemming Area,Piercing Machine,WLD
Corolla,Door Hemming Area,Pneumatic Jig,WFA RH
Corolla,Door Hemming Area,Pneumatic Jig,WFE RH
Corolla,Door Hemming Area,Pneumatic Jig,WFF RH
Corolla,Door Hemming Area,Pneumatic Jig,WFH RH
Corolla,Door Hemming Area,Pneumatic Jig,WFG RH
Corolla,Door Hemming Area,Pneumatic Jig,WRF RH
Corolla,Door Hemming Area,Pneumatic Jig,WRE RH
Corolla,Door Hemming Area,Pneumatic Jig,WRE LH
Corolla,Door Hemming Area,Pneumatic Jig,WRF LH
Corolla,Door Hemming Area,Pneumatic Jig,WRG LH
Corolla,Door Hemming Area,Pneumatic Jig,WFH LH
Corolla,Door Hemming Area,Pneumatic Jig,WFF LH
Corolla,Door Hemming Area,Pneumatic Jig,WFE LH
Corolla,Door Hemming Area,Pneumatic Jig,WFA LH
Corolla,Door Hemming Area,Pneumatic Jig,WLD
Corolla,Door Hemming Area,Pneumatic Jig,WEF
Corolla,Door Hemming Area,Pneumatic Jig,WHE
Corolla,Door Hemming Area,Pneumatic Jig,WLF
Corolla,Door Hemming Area,Pneumatic Jig,WLE
Corolla,Door Hemming Area,Sealer Pump,Sealer Pump # 4
Corolla,Door Hemming Area,Sealer Pump,Sealer Pump # 5
Corolla,Door Hemming Area,Spot Welding System,PSWS 01
Corolla,Door Hemming Area,Spot Welding System,PSWS 02
Corolla,Door Hemming Area,Spot Welding System,PSWS 03
Corolla,Door Hemming Area,Spot Welding System,PSWS 04
Corolla,Door Hemming Area,Spot Welding System,PSWS 05
Corolla,Door Hemming Area,Spot Welding System,PSWS 06
Corolla,Door Hemming Area,Spot Welding System,PSWS 07
Corolla,Door Hemming Area,Spot Welding System,PSWS 08
Corolla,Door Hemming Area,Spot Welding System,PSWS 09
Corolla,Door Hemming Area,Spot Welding System,PSWS 10
Corolla,Door Hemming Area,Spot Welding System,PSWS 11
Corolla,Door Hemming Area,Spot Welding System,PSWS 12
Corolla,Door Hemming Area,Spot Welding System,PSWS 13
Corolla,Door Hemming Area,Spot Welding System,PSWS 14
Corolla,Door Hemming Area,Spot Welding System,PSWS 15
Corolla,Door Hemming Area,Spot Welding System,PSWS 16
Corolla,Door Hemming Area,Spot Welding System,PSWS 17
Corolla,Door Hemming Area,Spot Welding System,PSWS 18
Corolla,Door Hemming Area,Spot Welding System,PSWS 19
Corolla,Door Hemming Area,Spot Welding System,PSWS 20
Corolla,Door Hemming Area,Spot Welding System,PSWS 21
Corolla,Door Hemming Area,Other,Other
Corolla,Main Body,PLC Jig,MRA
Corolla,Main Body,CO2,CO2 # 6
Corolla,Main Body,CO2,CO2 # 7
Corolla,Main Body,CO2,CO2 # 8
Corolla,Main Body,Hemming Machine,MOON ROOF
Corolla,Main Body,Hoist,C 17
Corolla,Main Body,Hoist,C 18
Corolla,Main Body,Hoist,C 19
Corolla,Main Body,Manual Jig,MRA
Corolla,Main Body,Manual Jig,MRB
Corolla,Main Body,M Tack,M-TACK
Corolla,Main Body,Sealer Pump,Sealer Pump # 3
Corolla,Main Body,Spot Welding System,PSWS 107A
Corolla,Main Body,Spot Welding System,PSWS 107B
Corolla,Main Body,Spot Welding System,PSWS 107
Corolla,Main Body,Spot Welding System,PSWS 108
Corolla,Main Body,Spot Welding System,PSWS 109A
Corolla,Main Body,Spot Welding System,PSWS 109B
Corolla,Main Body,Spot Welding System,PSWS 109
Corolla,Main Body,Spot Welding System,PSWS 110
Corolla,Main Body,Spot Welding System,PSWS 111
Corolla,Main Body,Spot Welding System,PSWS 112
Corolla,Main Body,Spot Welding System,PSWS 113
Corolla,Main Body,Spot Welding System,PSWS 114
Corolla,Main Body,Spot Welding System,PSWS 115
Corolla,Main Body,Spot Welding System,PSWS 116
Corolla,Main Body,Spot Welding System,PSWS 117
Corolla,Main Body,Spot Welding System,PSWS 118A
Corolla,Main Body,Spot Welding System,PSWS 118
Corolla,Main Body,Spot Welding System,PSWS 119
Corolla,Main Body,Spot Welding System,PSWS 120
Corolla,Main Body,Spot Welding System,PSWS 121
Corolla,Main Body,Spot Welding System,PSWS 122
Corolla,Main Body,Spot Welding System,PSWS 123
Corolla,Main Body,Spot Welding System,PSWS 124
Corolla,Main Body,Spot Welding System,PSWS 125
Corolla,Main Body,Spot Welding System,PSWS 126
Corolla,Main Body,Spot Welding System,PSWS 127
Corolla,Main Body,Spot Welding System,PSWS 128
Corolla,Main Body,Spot Welding System,PSWS 129
Corolla,Main Body,Spot Welding System,PSWS 130
Corolla,Main Body,Spot Welding System,PSWS 131
Corolla,Main Body,Spot Welding System,PSWS 132
Corolla,Main Body,Scissor Lifter,Scissor Lifter 1
Corolla,Main Body,Scissor Lifter,Scissor Lifter 2
Corolla,Main Body,Other,Other
Corolla,Shell Body,Brazing Station,Brazing Station # 3
Corolla,Shell Body,Conveyer,Shell body 
Corolla,Shell Body,Other,Other
Corolla,Side Member RH,Hydrolic punching machine,Enerpac
Corolla,Side Member LH,Hydrolic punching machine,Enerpac
Corolla,Side Member LH,CO2,CO2 # 4
Corolla,Side Member LH,Hoist,C 11
Corolla,Side Member LH,Hoist,C 12
Corolla,Side Member LH,Hoist,C 13
Corolla,Side Member LH,Piercing Machine,SWA-1
Corolla,Side Member LH,Piercing Machine,SWB LH
Corolla,Side Member LH,PLC Jig,SMB
Corolla,Side Member RH,PLC Jig,SMC-1
Corolla,Side Member LH,PLC Jig,SMC-1
Corolla,Side Member LH,PLC Jig,SMC
Corolla,Side Member LH,Pneumatic Jig,SWB
Corolla,Side Member LH,Pneumatic Jig,SWB-1
Corolla,Side Member LH,Pneumatic Jig,SWE
Corolla,Side Member LH,Pneumatic Jig,SWG
Corolla,Side Member LH,Pneumatic Jig,SWA
Corolla,Side Member LH,Pneumatic Jig,SRA
Corolla,Side Member LH,Pneumatic Jig,SWD
Corolla,Side Member LH,Pneumatic Jig,SOA
Corolla,Side Member LH,Sealer Pump,Sealer Pump # 1
Corolla,Side Member RH,Spot Welding System,PSWS 62
Corolla,Side Member RH,Spot Welding System,PSWS 63
Corolla,Side Member RH,Spot Welding System,PSWS 64
Corolla,Side Member RH,Spot Welding System,PSWS 65
Corolla,Side Member RH,Spot Welding System,PSWS 66A
Corolla,Side Member RH,Spot Welding System,PSWS 66
Corolla,Side Member RH,Spot Welding System,PSWS 67
Corolla,Side Member RH,Spot Welding System,PSWS 68
Corolla,Side Member RH,Spot Welding System,PSWS 69
Corolla,Side Member RH,Spot Welding System,PSWS 70
Corolla,Side Member RH,Spot Welding System,PSWS 71
Corolla,Side Member RH,Spot Welding System,PSWS 72
Corolla,Side Member RH,Spot Welding System,PSWS 73
Corolla,Side Member RH,Spot Welding System,PSWS 74
Corolla,Side Member RH,Spot Welding System,PSWS 75
Corolla,Side Member RH,Spot Welding System,PSWS 76
Corolla,Side Member RH,Spot Welding System,PSWS 77
Corolla,Side Member RH,Spot Welding System,PSWS 78
Corolla,Side Member RH,Spot Welding System,PSWS 79
Corolla,Side Member RH,Spot Welding System,PSWS 80
Corolla,Side Member LH,Spot Welding System,PSWS 81
Corolla,Side Member LH,Spot Welding System,PSWS 82
Corolla,Side Member LH,Spot Welding System,PSWS 83
Corolla,Side Member RH,CO2,CO2 # 5
Corolla,Side Member RH,Hoist,C 14
Corolla,Side Member RH,Hoist,C 15
Corolla,Side Member RH,Hoist,C 16
Corolla,Side Member RH,Piercing Machine,SWA-1
Corolla,Side Member RH,Piercing Machine,SWB RH
Corolla,Side Member RH,PLC Jig,SMB
Corolla,Side Member RH,PLC Jig,SMC
Corolla,Side Member RH,Pneumatic Jig,SWG
Corolla,Side Member RH,Pneumatic Jig,SWF
Corolla,Side Member RH,Pneumatic Jig,SMD
Corolla,Side Member RH,Pneumatic Jig,SWB
