Line,Area,Equipment Type,Equipment
Corolla,Under body,Spot Welding System,PSWS 40
Corolla,Under body,Spot Welding System,PSWS 41
Corolla,Under body,Spot Welding System,PSWS 42
Corolla,Under body,Spot Welding System,PSWS 43
Corolla,Under body,Spot Welding System,PSWS 44
Corolla,Under body,Spot Welding System,PSWS 45
Corolla,Under body,Spot Welding System,PSWS 46
Corolla,Under body,Spot Welding System,PSWS 47
Corolla,Under body,Spot Welding System,PSWS 48
Corolla,Under body,Spot Welding System,PSWS 49
Corolla,Under body,Spot Welding System,PSWS 50
Corolla,Under body,Spot Welding System,PSWS 51
Corolla,Under body,Spot Welding System,PSWS 52
Corolla,Under body,Spot Welding System,PSWS 53
Corolla,Under body,Spot Welding System,PSWS 54
Corolla,Under body,Spot Welding System,PSWS 55
Corolla,Under body,Spot Welding System,PSWS 56
Corolla,Under body,Spot Welding System,PSWS 57
Corolla,Under body,Spot Welding System,PSWS 58
Corolla,Under body,Spot Welding System,PSWS 59
Corolla,Under body,Spot Welding System,PSWS 60
Corolla,Under body,Spot Welding System,PSWS 61
Corolla,Under body,Spot Welding System,PSWS 62
Corolla,Under body,Spot Welding System,PSWS 63
Corolla,Under body,Spot Welding System,PSWS 64
Corolla,Under body,Spot Welding System,PSWS 65
Corolla,Under body,SSW,Nut Feeder 1
Corolla,Under body,SSW,Nut Feeder 2
Corolla,Under body,Stud Welder,UMD-1 LH
Corolla,Under body,Stud Welder,UUA-I
Corolla,Under body,Other,Other
IMV,Deck,CO2,CO2 # 3
IMV,Deck,CO2,CO2 # 4
IMV,Deck,Hoist,H 6
IMV,Deck,Hoist,H 7
IMV,Deck,Hoist,H 8
IMV,Deck,Manual Jig,DFB
IMV,Deck,PLC Jig,DSA RH
IMV,Deck,PLC Jig,DSB RH
IMV,Deck,PLC Jig,DSC RH
IMV,Deck,PLC Jig,DSC LH
IMV,Deck,Pneumatic Jig,DSA LH
IMV,Deck,Pneumatic Jig,DSB LH
IMV,Deck,Pneumatic Jig,DFC
IMV,Deck,Pneumatic Jig,DAA
IMV,Deck,Pneumatic Jig,DAA-1
IMV,Deck,Pneumatic Jig,DAA-2
IMV,Deck,Spot Welding System,PSWS 1
IMV,Deck,Spot Welding System,PSWS 2
IMV,Deck,Spot Welding System,PSWS 3
IMV,Deck,Spot Welding System,PSWS 4
IMV,Deck,Spot Welding System,PSWS 5
IMV,Deck,Spot Welding System,PSWS 6
IMV,Deck,Spot Welding System,PSWS 7
IMV,Deck,Spot Welding System,PSWS 8
IMV,Deck,Spot Welding System,PSWS 9
IMV,Deck,Spot Welding System,PSWS 10
IMV,Deck,Spot Welding System,PSWS 11
IMV,Deck,Spot Welding System,PSWS 12
IMV,Deck,Spot Welding System,PSWS 13
IMV,Deck,Spot Welding System,PSWS 14
IMV,Deck,Spot Welding System,PSWS 15
IMV,Deck,Spot Welding System,PSWS 16
IMV,Deck,Spot Welding System,PSWS 17
IMV,Deck,Spot Welding System,PSWS 18
IMV,Deck,Spot Welding System,PSWS 19
IMV,Deck,Spot Welding System,PSWS 20
IMV,Deck,Spot Welding System,PSWS 21
IMV,Deck,Spot Welding System,PSWS 22
IMV,Deck,Spot Welding System,PSWS 23
IMV,Deck,Spot Welding System,PSWS 24
IMV,Deck,Spot Welding System,PSWS 25
IMV,Deck,Spot Welding System,PSWS 26
IMV,Deck,Sealer Pump,Sealer Pump # 1
IMV,Deck,Spoter,Spoter 1
IMV,Deck,Spoter,Spoter 2
IMV,Deck,Spoter,Spoter 3
IMV,Deck,Scissor Lifter,Scissor Lifter 3
IMV,Deck,Other,Other
IMV,Engine and Main Body,Hoist,H 13
IMV,Engine and Main Body,Hoist,H 14
IMV,Engine and Main Body,Hoist,H 15
IMV,Engine and Main Body,Hoist,H 16
IMV,Engine and Main Body,Manual Jig,UDA
IMV,Engine and Main Body,Manual Jig,UAD RH
IMV,Engine and Main Body,Manual Jig,UAD LH
IMV,Engine and Main Body,Manual Jig,MRA
IMV,Engine and Main Body,Manual Jig,MRC
IMV,Engine and Main Body,Manual Jig,MRD
IMV,Engine and Main Body,Manual Jig,MCA
IMV,Engine and Main Body,Pneumatic Jig,UAE RH
IMV,Engine and Main Body,Pneumatic Jig,UAE LH
IMV,Engine and Main Body,Pneumatic Jig,UAB RH
IMV,Engine and Main Body,Pneumatic Jig,UAB LH
IMV,Engine and Main Body,Stud Welder,NSWS 1
IMV,Engine and Main Body,Spot Welding System,PSWS 61
IMV,Engine and Main Body,Spot Welding System,PSWS 62
IMV,Engine and Main Body,Spot Welding System,PSWS 63
IMV,Engine and Main Body,Spot Welding System,PSWS 64
IMV,Engine and Main Body,Spot Welding System,PSWS 65
IMV,Engine and Main Body,Spot Welding System,PSWS 66
IMV,Engine and Main Body,Spot Welding System,PSWS 67
IMV,Engine and Main Body,Spot Welding System,PSWS 68
IMV,Engine and Main Body,Spot Welding System,PSWS 69
IMV,Engine and Main Body,Spot Welding System,PSWS 70
IMV,Engine and Main Body,Spot Welding System,PSWS 71
IMV,Engine and Main Body,Spot Welding System,PSWS 72
IMV,Engine and Main Body,Spot Welding System,PSWS 73
IMV,Engine and Main Body,Spot Welding System,PSWS 74
IMV,Engine and Main Body,Spot Welding System,PSWS 75
IMV,Engine and Main Body,Spot Welding System,PSWS 76
IMV,Engine and Main Body,Spot Welding System,PSWS 77
IMV,Engine and Main Body,Spot Welding System,PSWS 78
IMV,Engine and Main Body,Spot Welding System,PSWS 79
IMV,Engine and Main Body,Spot Welding System,PSWS 80
IMV,Engine and Main Body,Spot Welding System,PSWS 81
IMV,Engine and Main Body,Spot Welding System,PSWS 82
IMV,Engine and Main Body,Spot Welding System,PSWS 83
IMV,Engine and Main Body,Spot Welding System,PSWS 84
IMV,Engine and Main Body,Spot Welding System,PSWS 85
IMV,Engine and Main Body,Spot Welding System,PSWS 86
IMV,Engine and Main Body,Spot Welding System,PSWS 87
IMV,Engine and Main Body,Spot Welding System,PSWS 88
IMV,Engine and Main Body,Spot Welding System,PSWS 89
IMV,Engine and Main Body,Spot Welding System,PSWS 90
IMV,Engine and Main Body,Spot Welding System,PSWS 91
IMV,Engine and Main Body,Spot Welding System,PSWS 92
IMV,Engine and Main Body,Spot Welding System,PSWS 93
IMV,Engine and Main Body,Spot Welding System,PSWS 94
IMV,Engine and Main Body,Spot Welding System,PSWS 95
IMV,Engine and Main Body,Spot Welding System,PSWS 96
IMV,Engine and Main Body,Spot Welding System,PSWS 97
IMV,Engine and Main Body,Spot Welding System,PSWS 98
IMV,Engine and Main Body,Spot Welding System,PSWS 99
IMV,Engine and Main Body,Spot Welding System,PSWS 100
IMV,Engine and Main Body,Spot Welding System,PSWS 101
IMV,Engine and Main Body,M Tack,M Tack
IMV,Engine and Main Body,Scissor Lifter,Scissor Lifter 1
IMV,Engine and Main Body,Scissor Lifter,Scissor Lifter 2
IMV,Engine and Main Body,Scissor Lifter,Scissor Lifter 3
IMV,Engine and Main Body,SSW,SSW 1
IMV,Engine and Main Body,SSW,SSW 2
IMV,Engine and Main Body,SSW,SSW 3
IMV,Engine and Main Body,Vacuum Cleaner,Vacuum Cleaner 1
IMV,Engine and Main Body,Vacuum Cleaner,Vacuum Cleaner 2
IMV,Engine and Main Body,Other,Other
IMV,Floor,CO2,CO2 # 1
IMV,Floor,CO2,CO2 # 2
IMV,Floor,Hoist,H 1
IMV,Floor,Hoist,H 2
IMV,Floor,Hoist,H 3
IMV,Floor,Hoist,H 4
IMV,Floor,Hoist,H 5
IMV,Floor,Manual Jig,UAA RH
IMV,Floor,Manual Jig,UAA LH
IMV,Floor,Manual Jig,MBA
IMV,Floor,Manual Jig,MBC
IMV,Floor,Manual Jig,MBCD
IMV,Floor,Manual Jig,UFJ R/L
IMV,Floor,Manual Jig,UFA-1
IMV,Floor,Manual Jig,UFG
IMV,Floor,Manual Jig,UFE R/L
IMV,Floor,Manual Jig,UFH R/L
IMV,Floor,Manual Jig,UUA
IMV,Floor,Manual Jig,UUG
IMV,Floor,Manual Jig,UUA-B
IMV,Floor,Piercing Machine,UFC
IMV,Floor,Pneumatic Jig,URA
IMV,Floor,Pneumatic Jig,UEA
IMV,Floor,Pneumatic Jig,UBA
IMV,Floor,Pneumatic Jig,UFB
IMV,Floor,Pneumatic Jig,UFA
IMV,Floor,Pneumatic Jig,UUB
IMV,Floor,Pneumatic Jig,UUM-SUV
IMV,Floor,Pneumatic Jig,UUL-SUV
IMV,Floor,Pneumatic Jig,UUE
IMV,Floor,Pneumatic Jig,UUB-SUV
IMV,Floor,Pneumatic Jig,UUD-SUV
IMV,Floor,Pneumatic Jig,UUE-SUV
IMV,Floor,Pneumatic Jig,UUA-SUV
IMV,Floor,Pneumatic Jig,UUA-1 SUV
IMV,Floor,Spot Welding System,PSWS 101
IMV,Floor,Spot Welding System,PSWS 102
IMV,Floor,Spot Welding System,PSWS 103
IMV,Floor,Spot Welding System,PSWS 104
IMV,Floor,Spot Welding System,PSWS 105
IMV,Floor,Spot Welding System,PSWS 106
IMV,Floor,Spot Welding System,PSWS 107
IMV,Floor,Spot Welding System,PSWS 108
IMV,Floor,Spot Welding System,PSWS 109
IMV,Floor,Spot Welding System,PSWS 110
IMV,Floor,Spot Welding System,PSWS 111
IMV,Floor,Spot Welding System,PSWS 112
IMV,Floor,Spot Welding System,PSWS 113
IMV,Floor,Spot Welding System,PSWS 114
IMV,Floor,Spot Welding System,PSWS 115
IMV,Floor,Spot Welding System,PSWS 116
IMV,Floor,Spot Welding System,PSWS 117
IMV,Floor,Spot Welding System,PSWS 118
IMV,Floor,Spot Welding System,PSWS 119
IMV,Floor,Spot Welding System,PSWS 120
IMV,Floor,Spot Welding System,PSWS 121
IMV,Floor,Spot Welding System,PSWS 122
IMV,Floor,Spot Welding System,PSWS 123
IMV,Floor,Spot Welding System,PSWS 124
IMV,Floor,Spot Welding System,PSWS 125
IMV,Floor,Spot Welding System,PSWS 126
IMV,Floor,Spot Welding System,PSWS 127
IMV,Floor,Spot Welding System,PSWS 128
IMV,Floor,Spot Welding System,PSWS 129
IMV,Floor,Spot Welding System,PSWS 130
IMV,Floor,Spot Welding System,PSWS 131
IMV,Floor,Spot Welding System,PSWS 132
IMV,Floor,Spot Welding System,PSWS 133
IMV,Floor,Stud Welder,UFC
IMV,Floor,Other,Other
IMV,Side Member,Hoist,H 9
IMV,Side Member,Hoist,H 10
IMV,Side Member,Hoist,H 11
IMV,Side Member,Hoist,H 12
IMV,Side Member,Manual Jig,SCA/ SFA
IMV,Side Member,Manual Jig,SCA LH
IMV,Side Member,PLC Jig,SOA RH
IMV,Side Member,PLC Jig,SMA RH
IMV,Side Member,PLC Jig,SOA LH
IMV,Side Member,PLC Jig,SMA LH
IMV,Side Member,Pneumatic Jig,SOB
IMV,Side Member,Pneumatic Jig,SOC RH
IMV,Side Member,Pneumatic Jig,SOB LH
IMV,Side Member,Pneumatic Jig,SOC LH
IMV,Side Member,Spot Welding System,PSWS 27
IMV,Side Member,Spot Welding System,PSWS 28
IMV,Side Member,Spot Welding System,PSWS 29
IMV,Side Member,Spot Welding System,PSWS 30
IMV,Side Member,Spot Welding System,PSWS 31
IMV,Side Member,Spot Welding System,PSWS 32
IMV,Side Member,Spot Welding System,PSWS 33
IMV,Side Member,Spot Welding System,PSWS 34
IMV,Side Member,Spot Welding System,PSWS 35
IMV,Side Member,Spot Welding System,PSWS 36
IMV,Side Member,Spot Welding System,PSWS 37
IMV,Side Member,Spot Welding System,PSWS 38
IMV,Side Member,Spot Welding System,PSWS 39
IMV,Side Member,Spot Welding System,PSWS 40
IMV,Side Member,Spot Welding System,PSWS 41
IMV,Side Member,Spot Welding System,PSWS 42
IMV,Side Member,Spot Welding System,PSWS 43
IMV,Side Member,Spot Welding System,PSWS 44
IMV,Side Member,Spot Welding System,PSWS 45
IMV,Side Member,Spot Welding System,PSWS 46
IMV,Side Member,Spot Welding System,PSWS 47
IMV,Side Member,Spot Welding System,PSWS 48
IMV,Side Member,Spot Welding System,PSWS 49
IMV,Side Member,Spot Welding System,PSWS 50
IMV,Side Member,Spot Welding System,PSWS 51
IMV,Side Member,Spot Welding System,PSWS 52
IMV,Side Member,Spot Welding System,PSWS 53
IMV,Side Member,Spot Welding System,PSWS 54
IMV,Side Member,Spot Welding System,PSWS 55
IMV,Side Member,Spot Welding System,PSWS 56
IMV,Side Member,Spot Welding System,PSWS 57
IMV,Side Member,Spot Welding System,PSWS 58
IMV,Side Member,Spot Welding System,PSWS 59
IMV,Side Member,Spot Welding System,PSWS 60
IMV,Side Member,Spot Welding System,PSWS 60A
IMV,Side Member,Spot Welding System,PSWS 60B
IMV,Side Member,Sealer Pump,Sealer Pump 1
IMV,Side Member,Punching Machine,UUC
IMV,Side Member,Other,Other
IMV,Wheel House,Manual Jig,SWE R/L
IMV,Wheel House,Manual Jig,SWC LH
IMV,Wheel House,Manual Jig,SWA
IMV,Wheel House,Manual Jig,SWB LH
IMV,Wheel House,Manual Jig,SWB RH
IMV,Wheel House,Manual Jig,SWA RH
IMV,Wheel House,Manual Jig,SWA -SUV
IMV,Wheel House,Manual Jig,STA LH
IMV,Wheel House,Manual Jig,STA RH
IMV,Wheel House,Pneumatic Jig,SRD R/L
IMV,Wheel House,Pneumatic Jig,SRA RH
IMV,Wheel House,Pneumatic Jig,SRA LH
IMV,Wheel House,Pneumatic Jig,SRC R/L
IMV,Wheel House,Spot Welding System,PSWS 134
IMV,Wheel House,Spot Welding System,PSWS 135
IMV,Wheel House,Spot Welding System,PSWS 136
IMV,Wheel House,Spot Welding System,PSWS 137
IMV,Wheel House,Spot Welding System,PSWS 138
IMV,Wheel House,Spot Welding System,PSWS 139
IMV,Wheel House,Spot Welding System,PSWS 140
IMV,Wheel House,Spot Welding System,PSWS 141
IMV,Wheel House,Spot Welding System,PSWS 142
IMV,Wheel House,Spot Welding System,PSWS 143
IMV,Wheel House,Spot Welding System,PSWS 144
IMV,Wheel House,Spot Welding System,PSWS 145
IMV,Wheel House,Spot Welding System,PSWS 146
IMV,Wheel House,Spot Welding System,PSWS 147
IMV,Wheel House,Spot Welding System,PSWS 148
IMV,Wheel House,Spot Welding System,PSWS 149
IMV,Wheel House,Other,Other
Yaris,Main Body,M Tack,M Tack
Yaris,Main Body,Other,Other
Yaris,Door,CO2,CO2 10
Yaris,Door,PLC Jig,WRE LH
Yaris,Door,PLC Jig,WRD LH
Yaris,Door,PLC Jig,WLG LH
Yaris,Door,PLC Jig,WFE LH
Yaris,Door,PLC Jig,WFE RH
Yaris,Door,PLC Jig,WRE RH
Yaris,Door,PLC Jig,WRD RH
Yaris,Door,PLC Jig,WLH
Yaris,Door,Pneumatic Jig,WFD LH
Yaris,Door,Pneumatic Jig,WRG LH
Yaris,Door,Pneumatic Jig,WHF
Yaris,Door,Pneumatic Jig,WEA RH
Yaris,Door,Pneumatic Jig,WEA LH
Yaris,Door,Pneumatic Jig,WLG
Yaris,Door,Pneumatic Jig,WLF
Yaris,Door,Pneumatic Jig,WLE
Yaris,Door,Pneumatic Jig,WLI
Yaris,Door,Roller Hemming Robot,DR (2-1)
Yaris,Door,Roller Hemming Robot,DR (3-1)
Yaris,Door,Roller Hemming Robot,DR (3-2)
Yaris,Door,Roller Hemming Robot,DR (3-2)
Yaris,Door,Roller Hemming Robot,DR (3-3)
Yaris,Door,Roller Hemming Robot,DR (4-1)
Yaris,Door,Roller Hemming Robot,HD (2-1)
Yaris,Door,Roller Hemming Robot,HD (3-1)
Yaris,Door,Roller Hemming Robot,HD (3-2)
Yaris,Door,Roller Hemming Robot,HD (3-2)
Yaris,Door,Roller Hemming Robot,HD (3-3)
Yaris,Door,Roller Hemming Robot,HD (4-1)
Yaris,Door,Roller Hemming Robot,LG (2-1)
Yaris,Door,Roller Hemming Robot,LG (3-1)
Yaris,Door,Roller Hemming Robot,LG (3-2)
Yaris,Door,Roller Hemming Robot,LG (3-2)
Yaris,Door,Roller Hemming Robot,LG (3-3)
Yaris,Door,Roller Hemming Robot,LG (4-1)
Yaris,Door,Sealer Pump,Sealer Pump # 8
Yaris,Door,Spot Welding System,PSWS V01
Yaris,Door,Spot Welding System,PSWS V02
Yaris,Door,Spot Welding System,PSWS V03
Yaris,Door,Spot Welding System,PSWS V04
Yaris,Door,Spot Welding System,PSWS V05
Yaris,Door,Spot Welding System,PSWS V06
Yaris,Door,Spot Welding System,PSWS V07
Yaris,Door,Spot Welding System,PSWS V08
Yaris,Door,Spot Welding System,PSWS V9
Yaris,Door,Spot Welding System,PSWS V10
Yaris,Door,Spot Welding System,PSWS V11
Yaris,Door,Spot Welding System,PSWS V12
Yaris,Door,Spot Welding System,PSWS V13
Yaris,Door,Spot Welding System,PSWS V14
Yaris,Door,Spot Welding System,PSWS V15
Yaris,Door,Spot Welding System,PSWS V16
Yaris,Door,Spot Welding System,PSWS V17
Yaris,Door,Spot Welding System,PSWS V18
Yaris,Door,Spot Welding System,PSWS V19
Yaris,Door,Spot Welding System,PSWS V20
Yaris,Door,Spot Welding System,PSWS V21
Yaris,Door,Spot Welding System,PSWS V22
Yaris,Door,Spot Welding System,PSWS V82
Yaris,Door,Spot Welding System,PSWS V83
Yaris,Door,Spot Welding System,PSWS V84
Yaris,Door,Spot Welding System,PSWS V85
Yaris,Door,Spot Welding System,PSWS V86
Yaris,Door,Spot Welding System,PSWS V87
Yaris,Door,Spot Welding System,PSWS V88
Yaris,Door,Spot Welding System,PSWS V89
Yaris,Door,Spot Welding System,PSWS V90
Yaris,Door,SSW,SSW 1
Yaris,Door,Other,Other
Yaris,Side Member RH,Spot Welding System,PSWS V65  
Yaris,Side Member RH,Spot Welding System,PSWS V66  
Yaris,Side Member RH,Spot Welding System,PSWS V67  
Yaris,Side Member RH,Spot Welding System,PSWS V68  
Yaris,Side Member RH,Spot Welding System,PSWS V69  
Yaris,Side Member RH,Spot Welding System,PSWS V70  
Yaris,Side Member RH,Spot Welding System,PSWS V71  
Yaris,Side Member LH,Sealer Pump,PSWS V72  
Yaris,Side Member LH,Spot Welding System,PSWS V53  
Yaris,Side Member RH,Spot Welding System,PSWS V54  
Yaris,Side Member RH,Spot Welding System,PSWS V55  
Yaris,Side Member RH,Spot Welding System,PSWS V56  
Yaris,Side Member RH,Spot Welding System,PSWS V57  
Yaris,Side Member RH,Spot Welding System,PSWS V58  
Yaris,Side Member RH,Spot Welding System,PSWS V59  
Yaris,Side Member RH,Spot Welding System,PSWS V60  
Yaris,Side Member LH,CO2,PSWS V61  
Yaris,Side Member RH,CO2,PSWS V62  
Yaris,Side Member RH,Hoist,PSWS V63
Yaris,Side Member LH,Pneumatic Jig,SWC LH
Yaris,Side Member RH,Pneumatic Jig,STA
Yaris,Side Member RH,Pneumatic Jig,SCA
Yaris,Side Member RH,Pneumatic Jig,SWB
Yaris,Side Member RH,Pneumatic Jig,SWA
Yaris,Side Member RH,Pneumatic Jig,SRB
Yaris,Side Member RH,Pneumatic Jig,SRA
Yaris,Side Member RH,Pneumatic Jig,SOA
Yaris,Side Member RH,PLC Jig,SMB
Yaris,Side Member RH,PLC Jig,SMA
Yaris,Side Member RH,Sealer Pump,Sealer Pump # 6
Yaris,Side Member LH,Spot Welding System,PSWS V54  
Yaris,Side Member LH,Spot Welding System,PSWS V55  
Yaris,Side Member LH,Spot Welding System,PSWS V56  
Yaris,Side Member LH,Spot Welding System,PSWS V57  
Yaris,Side Member LH,Spot Welding System,PSWS V58  
Yaris,Side Member LH,Spot Welding System,PSWS V59  
Yaris,Side Member LH,Spot Welding System,PSWS V60  
Yaris,Side Member LH,Spot Welding System,PSWS V61
Yaris,Side Member LH,Spot Welding System,PSWS V62  
Yaris,Side Member LH,Spot Welding System,PSWS V63
Yaris,Side Member RH,Other,Other
Yaris,Side Member LH,Other,Other
Yaris,Under body,Auto Stud,UDB-1
Yaris,Under body,Hoist,V 1
Yaris,Under body,Hoist,V 2
Yaris,Under body,Hoist,V 3
Yaris,Under body,Hoist,V 4
Yaris,Under body,Hoist,V 5
Yaris,Under body,Hoist,V 6
Yaris,Under body,Hoist,V 7
Yaris,Under body,Hoist,V 8
Yaris,Under body,Manual Jig,UFC-1
Yaris,Under body,Manual Jig,UFH R/L
Yaris,Under body,Manual Jig,UFA-1
Yaris,Under body,Manual Jig,UUA-1
Yaris,Under body,Manual Jig,UEA-1
Yaris,Under body,Manual Jig,URE
Yaris,Under body,Number Punching Machine,UFD
Yaris,Under body,PLC Jig,UEA
Yaris,Under body,Pneumatic Jig,UDB
Yaris,Under body,Pneumatic Jig,UAD LH
Yaris,Under body,Pneumatic Jig,UAB LH
Yaris,Under body,Pneumatic Jig,UMD LH
Yaris,Under body,Pneumatic Jig,UMA LH
Yaris,Under body,Pneumatic Jig,UMA -1 LH
Yaris,Under body,Pneumatic Jig,UMA-1 RH
Yaris,Under body,Pneumatic Jig,UMA RH
Yaris,Under body,Pneumatic Jig,UMD 
Yaris,Under body,Pneumatic Jig,UAB RH
Yaris,Under body,Pneumatic Jig,UAD RH
Yaris,Under body,Pneumatic Jig,SRA LH
Yaris,Under body,Pneumatic Jig,SRA RH
Yaris,Under body,Pneumatic Jig,SRB LH
Yaris,Under body,Pneumatic Jig,SRB RH
Yaris,Under body,Pneumatic Jig,SWC LH
Yaris,Under body,Pneumatic Jig,UFB RH
Yaris,Under body,Pneumatic Jig,UFB LH
Yaris,Under body,Pneumatic Jig,UFA
Yaris,Under body,Pneumatic Jig,UFJ R/L
Yaris,Under body,Pneumatic Jig,UUB
Yaris,Under body,Pneumatic Jig,UUA
Yaris,Under body,Pneumatic Jig,UUF LH
Yaris,Under body,Pneumatic Jig,UUG LH
Yaris,Under body,Pneumatic Jig,UUF RH
Yaris,Under body,Pneumatic Jig,UUG RH
Yaris,Under body,Pneumatic Jig,UUC
Yaris,Under body,Manual Jig,MRA
Yaris,Under body,Spot Welding System,PSWS 01
Yaris,Under body,Spot Welding System,PSWS 02
Yaris,Under body,Spot Welding System,PSWS 03
Yaris,Under body,Spot Welding System,PSWS 04
Yaris,Under body,Spot Welding System,PSWS 05
Yaris,Under body,Spot Welding System,PSWS 06
Yaris,Under body,Spot Welding System,PSWS 07
Yaris,Under body,Spot Welding System,PSWS 08
Yaris,Under body,Spot Welding System,PSWS 09
Yaris,Under body,Spot Welding System,PSWS 10
Yaris,Under body,Spot Welding System,PSWS 11
Yaris,Under body,Spot Welding System,PSWS 12
Yaris,Under body,Spot Welding System,PSWS 13
Yaris,Under body,Spot Welding System,PSWS 14
Yaris,Under body,Spot Welding System,PSWS 15
Yaris,Under body,Spot Welding System,PSWS 16
Yaris,Under body,Spot Welding System,PSWS 17
Yaris,Under body,Spot Welding System,PSWS 18
Yaris,Under body,Spot Welding System,PSWS 19
Yaris,Under body,Spot Welding System,PSWS 20
Yaris,Under body,Spot Welding System,PSWS 21
Yaris,Under body,Spot Welding System,PSWS 22
Yaris,Under body,Spot Welding System,PSWS 23
Yaris,Under body,Spot Welding System,PSWS 24
Yaris,Under body,Spot Welding System,PSWS 25
Yaris,Under body,Spot Welding System,PSWS 26
Yaris,Under body,Spot Welding System,PSWS 27
Yaris,Under body,Spot Welding System,PSWS 28
Yaris,Under body,Spot Welding System,PSWS 29
Yaris,Under body,Spot Welding System,PSWS 30
Yaris,Under body,Spot Welding System,PSWS 31
Yaris,Under body,Spot Welding System,PSWS 32
Yaris,Under body,Spot Welding System,PSWS 33
Yaris,Under body,Spot Welding System,PSWS 34
Yaris,Under body,Spot Welding System,PSWS 35
Yaris,Under body,Spot Welding System,PSWS 36
Yaris,Under body,Spot Welding System,PSWS 37
Yaris,Under body,Spot Welding System,PSWS 38
Yaris,Under body,Spot Welding System,PSWS 39
Yaris,Under body,Spot Welding System,PSWS 40
Yaris,Under body,Spot Welding System,PSWS 41
Yaris,Under body,Spot Welding System,PSWS 42
Yaris,Under body,Spot Welding System,PSWS 43
Yaris,Under body,Spot Welding System,PSWS 44
Yaris,Under body,Spot Welding System,PSWS 45
Yaris,Under body,Spot Welding System,PSWS 46
Yaris,Under body,Spot Welding System,PSWS 47
Yaris,Under body,SSW,UDD
Yaris,Under body,SSW,UME LH
Yaris,Under body,SSW,UFG
Yaris,Under body,Stud Welder,UFA-1
Yaris,Under body,Stud Welder,UUA-1
Yaris,Under body,Other,Other
